,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"13,536","-6,863","38,571",45.33,1.00,-1.00,"2,13,135",0.95,1.00,"1,53,010","25,050.00","2,535","1,364.40","1,453.75","2,535",-,-,-,-,-,5,
,"37,588","-17,798","1,44,019",46.39,0.90,-0.95,"6,06,125",0.90,0.95,"2,96,205","25,100.00",65,"1,444.55","1,455.70",130,134.85,"1,465.00",-,3,-1,25,
,"10,105","-2,684","27,280",47.42,0.85,-0.90,"1,48,525",0.85,0.90,"1,38,060","25,150.00",780,"1,461.40","1,630.20",780,-,-,-,-,-,5,
,"49,078","-16,001","1,50,605",48.11,0.80,-0.80,"4,17,820",0.80,0.85,"4,73,980","25,200.00",780,"1,470.00","1,592.45",845,-,-,-,-,-,153,
,"17,541","1,296","18,314",49.71,0.85,-0.70,"1,84,210",0.85,0.90,"81,705","25,250.00",780,"1,331.35","1,716.40",780,-,-,-,-,-,6,
,"36,214","-16,311","89,649",50.66,0.80,-0.60,"3,70,045",0.80,0.85,"2,70,270","25,300.00",780,"1,525.80","1,810.90",780,-,-,27.81,-,-,30,
,"6,308",-560,"11,736",52.26,0.85,-0.50,"1,07,770",0.80,0.85,"1,06,535","25,350.00",780,"1,606.35","1,767.55",780,-,-,-,-,-,-,
,"30,336","-10,069","43,515",53.19,0.80,-0.45,"3,15,445",0.80,0.85,"3,09,140","25,400.00",65,"1,744.75","1,756.55",130,156.00,"1,781.00",-,6,-1,37,
,"4,664","-1,564","8,197",54.44,0.75,-0.40,"91,975",0.75,0.80,"77,285","25,450.00",780,"1,754.70","1,855.00",780,-,-,-,-,-,4,
,"86,901","-48,349","2,12,250",55.33,0.75,-0.45,"5,64,265",0.70,0.75,"4,02,090","25,500.00",130,"1,850.70","1,853.00",65,102.00,"1,863.80",-,494,-354,"1,560",
,"4,126",-220,"9,192",56.57,0.70,-0.35,"79,560",0.70,0.75,"81,640","25,550.00",780,"1,784.05","2,004.20",780,-,-,-,-,-,11,
,"11,532","-4,301","28,758",57.40,0.65,-0.35,"1,60,095",0.65,0.70,"1,39,035","25,600.00",325,"1,935.30","1,983.60",780,103.95,"1,990.00",-,2,-,34,
,"3,641","1,681","9,481",58.62,0.65,-0.35,"60,450",0.65,0.70,"80,145","25,650.00",780,"1,870.80","2,070.70",780,-,-,-,-,-,25,
,"10,293","-1,758","17,235",59.84,0.65,-0.35,"98,410",0.65,0.70,"1,18,625","25,700.00",780,"1,934.80","2,106.95",780,-,-,40.01,-,-,3,
,"4,871","1,081","6,889",60.60,0.65,-0.30,"87,230",0.65,0.70,"62,725","25,750.00",780,"1,974.75","2,223.15",780,-,-,-,-,-,-,
,"6,915","-1,347","10,409",61.80,0.65,-0.25,"99,125",0.65,0.70,"1,09,850","25,800.00",65,"2,137.25","2,175.85","1,040",201.95,"2,200.00",-,1,-1,11,
,"3,276",371,"4,622",62.51,0.65,-0.25,"61,880",0.60,0.65,"40,755","25,850.00",780,"2,023.25","2,261.00",780,-,-,39.33,-,-,7,
,"7,558","1,283","10,173",63.17,0.55,-0.30,"95,095",0.55,0.60,"87,620","25,900.00",65,"2,237.30","2,263.90",130,350.00,"2,260.00",44.83,1,-,3,
,"2,313",149,"2,200",64.87,0.60,-0.25,"65,195",0.55,0.60,"41,210","25,950.00",780,"2,165.55","2,383.35",780,-,-,-,-,-,-,
,"44,029","-6,154","44,179",64.93,0.50,-0.30,"7,68,885",0.50,0.55,"6,42,850","26,000.00",65,"2,345.05","2,354.45",65,66.40,"2,341.00",-,369,-276,"1,281",
,"4,585",973,"7,977",66.08,0.50,-0.25,"53,820",0.50,0.55,"85,280","26,050.00",780,"2,253.10","2,564.60",780,-,-,-,-,-,-,
,"2,810",224,"4,216",67.23,0.50,-0.20,"36,400",0.50,0.55,"21,710","26,100.00",780,"2,318.40","2,616.25",780,-,-,47.38,-,-,5,
,"1,894",60,"1,773",68.98,0.50,-0.25,"25,805",0.50,0.55,"18,980","26,150.00",780,"2,355.40","2,557.95",780,-,-,-,-,-,-,
,"4,671",154,"5,215",69.52,0.50,-0.20,"55,250",0.45,0.50,"62,725","26,200.00",780,"2,378.75","2,681.90",780,-,-,44.78,-,-,21,
,"3,479",380,"2,490",70.66,0.50,-0.15,"1,105",0.50,0.55,"36,400","26,250.00",780,"2,448.60","2,658.90",780,-,-,-,-,-,1,
,"14,891",14,"9,637",71.11,0.50,-0.15,"1,57,105",0.45,0.50,"1,06,795","26,300.00",780,"2,471.10","2,722.65",780,-,-,29.20,-,-,3,
,"8,887","-1,020","19,310",72.23,0.45,-0.15,"38,610",0.45,0.50,"49,595","26,350.00",780,"2,549.50","2,827.95",780,-,-,-,-,-,-,
